iteration,ai_ratio,entropy,vocab_size
44,0.06103286384976526,4.322554103673682,1066
45,0.06191369606003752,4.322179363172531,1066
46,0.06279287722586692,4.319833211379771,1066
47,0.06367041198501873,4.319456168763283,1066
48,0.06454630495790459,4.318984459210281,1066
49,0.06542056074766354,4.313248627794983,1066
50,0.06629318394024276,4.312879754866612,1066
51,0.06716417910447761,4.306960521622792,1066
52,0.06803355079217148,4.306731139849593,1066
53,0.06890130353817504,4.306278607772653,1066
54,0.06976744186046512,4.306047627515493,1066
55,0.07063197026022305,4.305814443178618,1066
56,0.07149489322191271,4.303487648752253,1066
57,0.07235621521335807,4.303258068681137,1066
58,0.0732159406858202,4.302900984635029,1066
59,0.07407407407407407,4.296942236286023,1066
60,0.07493061979648474,4.296718783651995,1066
61,0.07578558225508318,4.296492354651985,1066
62,0.07663896583564174,4.296039762968407,1066
63,0.07749077490774908,4.293664978919317,1066
64,0.07834101382488479,4.287659995267822,1066
65,0.07918968692449356,4.2874413908390485,1066
66,0.08003679852805888,4.287104955418851,1066
67,0.08088235294117647,4.286887591795991,1066
68,0.08172635445362718,4.286666453270042,1066
69,0.08256880733944955,4.286215669094122,1066
70,0.08340971585701192,4.285878327960914,1066
71,0.08424908424908426,4.2856579982163705,1066
72,0.08508691674290943,4.285428789428389,1066
73,0.08592321755027423,4.283029707324788,1066
74,0.0867579908675799,4.277035319952625,1066
75,0.08759124087591241,4.276706624218919,1066
76,0.08842297174111212,4.276433905501804,1066
77,0.08925318761384335,4.276102690282967,1066
78,0.09008189262966333,4.270014004227893,1066
79,0.09090909090909091,4.2697424983760595,1066
80,0.09173478655767484,4.26946845891549,1066
81,0.0925589836660617,4.269144786475219,1066
82,0.09338168631006347,4.266785001091041,1066
83,0.09420289855072464,4.266459392810222,1066
84,0.09502262443438914,4.265787868226756,1066
85,0.09584086799276673,4.265577211202701,1066
86,0.0966576332429991,4.25950457840853,1066
87,0.09747292418772563,4.253339918445835,1066
88,0.09828674481514878,4.25303164833182,1066
89,0.0990990990990991,4.25276942388378,1066
90,0.0999099909990999,4.250460397203029,1066
91,0.10071942446043165,4.250266186954708,1066
92,0.10152740341419586,4.247863735026292,1066
93,0.10233393177737882,4.247671042984953,1066
94,0.1031390134529148,4.247495625668047,1066
95,0.1039426523297491,4.241414402930911,1066
96,0.10474485228290063,4.241162808426236,1066
97,0.10554561717352415,4.240908853185883,1066
98,0.1063449508489723,4.234760184961611,1066
99,0.10714285714285714,4.234471658788312,1066
100,0.1079393398751115,4.232127957958359,1066
101,0.10873440285204991,4.231951004342994,1066
102,0.10952804986642921,4.225816387430719,1066
103,0.1103202846975089,4.219623089184186,1066
104,0.1111111111111111,4.219350052410258,1066
105,0.11190053285968028,4.2131131238513415,1066
106,0.1126885536823425,4.212972237583756,1066
107,0.11347517730496454,4.212812204916055,1066
108,0.11426040744021258,4.2105874955626925,1066
109,0.11504424778761062,4.210447243778216,1066
110,0.11582670203359859,4.2101266344489865,1066
111,0.1166077738515901,4.209983296477753,1066
112,0.11738746690203,4.2076952477405705,1066
113,0.11816578483245149,4.207534740847207,1066
114,0.11894273127753303,4.201418147392946,1066
115,0.11971830985915492,4.201281508665621,1066
116,0.12049252418645559,4.201124526003092,1066
117,0.12126537785588752,4.200965262872822,1066
118,0.12203687445127305,4.200741527735308,1066
119,0.12280701754385964,4.20051559368751,1066
120,0.12357581069237511,4.194380894669365,1066
121,0.1243432574430823,4.1882090254267945,1066
122,0.12510936132983377,4.1860510309948085,1066
123,0.1258741258741259,4.185814506515956,1066
124,0.12663755458515283,4.179676469195145,1066
125,0.1273996509598604,4.173509447601917,1066
126,0.12816041848299914,4.171400590648265,1066
127,0.1289198606271777,4.171177038161974,1066
128,0.12967798085291557,4.165049496281889,1066
129,0.13043478260869565,4.164946119306002,1066
130,0.13119026933101652,4.164840345220219,1066
131,0.13194444444444445,4.164622278054381,1066
132,0.1326973113616652,4.164514492186651,1066
133,0.13344887348353554,4.162408864737433,1066
134,0.1341991341991342,4.162163072071909,1066
135,0.13494809688581316,4.161944106903386,1066
136,0.13569576490924806,4.16183680672456,1066
137,0.13644214162348878,4.155789858618874,1066
138,0.1371872303710095,4.153689521746424,1066
139,0.13793103448275862,4.151532698305839,1066
140,0.13867355727820843,4.149322748072148,1066
141,0.13941480206540446,4.149211124396823,1066
142,0.14015477214101463,4.14899926302484,1066
143,0.140893470790378,4.148785007789605,1066
